open-tessera,pente-threat-4,pente-threat-31,pente-threat-22,open-tria,stretch-tria,open-pair,capture-threat,stretch-two,three-gap,pente-potential-1,pente-potential-2,captures,4-captures,can-block-trias,non-quiet-moves,move-index,not-in-shape,won
0,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,6,15,-2,1
0,0,0,0,0,0,-5,-1,-2,0,-1,0,-1,0,1,2,21,1,0
0,0,0,0,0,-1,-4,0,0,0,0,0,-2,0,0,4,29,2,0
0,0,0,0,0,0,-1,1,-1,0,0,0,-1,0,1,3,11,0,0
0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,1,0,7,0,0
0,0,0,0,0,0,3,-1,0,0,0,0,2,0,1,5,30,-2,1
0,0,0,0,0,0,-5,1,-2,0,0,0,-3,-1,0,1,33,6,0
0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,4,0,1
0,0,0,0,0,0,-5,0,-2,0,-1,0,-1,0,1,0,23,4,0
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,8,1,1
0,0,0,0,0,0,-1,1,-1,0,0,0,-1,0,1,1,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0
0,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,4,18,0,1
0,0,0,0,-1,0,-2,1,-2,0,-1,0,-2,0,0,3,27,3,0
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,3,1,0
0,0,0,0,-1,0,1,-1,1,0,0,0,1,0,0,2,10,0,1
0,0,0,0,-1,0,-2,1,-2,0,-1,0,-1,0,0,3,25,4,0
0,0,0,0,0,0,0,0,-2,1,0,0,0,0,1,0,5,0,0
0,0,0,0,0,0,3,-2,2,0,0,0,3,1,1,2,34,-5,1
0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,20,1,1
0,0,0,0,-1,0,0,1,-1,0,0,0,-1,0,1,6,15,0,0
0,-1,0,0,0,0,4,0,2,0,1,0,1,0,0,1,22,-1,1
0,0,0,0,0,-2,-6,1,-1,0,0,0,-3,-1,0,6,35,5,0
0,-1,0,0,1,0,0,-1,0,0,0,0,1,0,0,2,16,0,1
0,0,0,0,0,0,-2,-2,-2,0,-1,0,0,0,1,2,19,0,0
0,0,0,0,0,0,3,-2,2,0,1,0,1,0,1,0,24,-4,1
0,-1,0,0,0,0,-3,0,0,0,0,0,-2,0,0,1,31,4,0
0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,3,26,-2,1
0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,1,3,14,0,1
0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,12,1,1
0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,1,0,6,1,1
0,0,0,0,0,0,-2,0,-1,0,0,0,-1,0,1,3,13,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,3,32,-3,1
0,0,0,0,-1,0,0,1,0,0,0,0,-1,0,1,4,17,0,0
0,0,0,0,0,0,2,-1,0,0,0,0,2,0,1,2,28,-2,1
0,0,0,0,0,2,6,-2,1,0,0,0,3,1,0,6,36,-5,1
0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,1,6,16,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
0,0,0,0,0,0,-2,0,0,0,0,-1,0,0,0,1,15,1,1
0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,2,14,-1,0
0,0,0,0,-1,-1,-1,1,-1,0,0,0,-1,0,1,7,29,0,1
0,0,0,0,0,0,-2,2,-2,0,0,0,-1,0,1,2,11,1,1
0,-1,0,0,0,-1,-1,2,0,0,0,0,-1,0,1,2,19,2,1
0,-1,0,0,0,1,3,0,-1,0,1,0,1,1,0,1,35,-3,1
0,0,0,0,1,1,1,-1,-1,0,0,0,1,1,0,7,41,0,1
0,0,0,0,0,0,0,-2,0,0,-1,0,1,0,1,0,10,1,0
0,0,0,0,0,0,-1,0,-1,1,0,0,0,0,1,1,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,3,1,1
0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,1,0,6,1,0
0,0,0,0,0,0,-1,1,-2,1,0,0,-1,0,1,1,9,0,1
0,0,-1,0,-1,-1,-2,1,1,0,0,0,-1,-1,0,1,40,3,0
0,0,0,0,-1,0,0,2,0,0,0,0,-1,0,1,4,17,1,1
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,5,1,1
0,0,0,0,-1,0,1,1,-1,0,0,0,0,0,0,4,21,0,1
0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,3,24,0,0
0,0,0,0,0,0,-2,0,-1,0,0,0,-1,0,0,1,27,1,1
0,0,0,0,0,1,2,-1,-1,0,0,0,1,1,0,5,39,-3,1
0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,1,3,20,0,0
0,0,0,0,0,-1,-3,0,1,0,-1,0,-1,-1,0,3,36,4,0
0,0,0,0,0,0,0,-1,1,0,0,0,1,0,1,1,28,1,0
0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,23,2,1
0,0,0,0,0,-1,1,0,0,0,0,0,1,1,0,3,33,-4,1
0,0,0,0,0,-1,-3,-1,0,0,-1,0,-1,-1,0,5,34,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
0,0,0,0,0,-1,-2,0,1,0,0,0,-1,-1,0,4,38,3,0
0,0,0,0,0,1,-1,-1,-2,0,-1,0,-1,-1,1,3,32,2,0
0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,3,13,1,1
0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,1,5,22,-1,0
0,0,0,0,0,-1,1,-1,-1,0,0,0,1,1,0,3,37,-2,1
0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,12,-1,0
0,0,0,0,0,0,-2,-1,0,0,0,0,0,0,0,1,25,1,1
0,0,0,0,1,1,-1,-2,-2,0,-1,0,0,0,1,7,30,1,0
0,0,0,0,0,0,0,-2,0,0,0,0,1,0,1,2,18,-2,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,26,-1,0
0,0,-1,0,-1,-1,1,2,2,0,1,0,0,0,0,2,31,-1,1
0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,1,2,8,0,0
0,0,0,0,0,0,-1,0,-1,-1,0,0,-2,0,1,3,28,-2,0
0,0,0,0,0,0,-2,3,0,0,0,0,-1,0,0,3,19,4,1
0,0,0,0,0,-1,1,-4,2,1,0,0,3,1,0,5,33,1,1
0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,2,15,-2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0
0,0,0,0,0,1,-2,2,-3,-1,0,-1,-3,-1,1,8,32,-1,0
0,0,0,0,0,0,-1,-2,0,0,0,0,-1,0,1,2,24,-4,0
